total_calls,high_priority,medium_priority,low_priority,gridid,objectid,Shape__Area,Shape__Length
5074,438,1393,3243,882a134acbfffff,351,1251709.6015625,4167.94321691139
1730,128,539,1063,882a134acdfffff,352,1252333.5703125,4168.97488745843
4718,370,1759,2589,882a134ad1fffff,353,1250755.50390625,4166.36488764856
5225,757,1468,3000,882a134ad3fffff,354,1250278.55859375,4165.57568831562
4739,429,1617,2693,882a134ad5fffff,355,1250901.79296875,4166.60673225453
853,57,296,500,882a134ad7fffff,356,1250424.71875,4165.81734264107
8217,1057,2564,4596,882a134ad9fffff,357,1251085.8828125,4166.91169561853
11981,1061,3310,7610,882a134adbfffff,358,1250608.97265625,4166.12262485485
5413,488,1806,3119,882a134addfffff,359,1251232.421875,4167.15390594128
12901,1146,3526,8229,882a134ae1fffff,360,1251817.265625,4168.12048504334
7338,589,1957,4792,882a134ae3fffff,361,1251340.05859375,4167.33114961318
9961,990,2595,6376,882a134ae5fffff,362,1251963.22265625,4168.36168681527
9876,373,2282,7221,882a134ae7fffff,363,1251485.88671875,4167.57222584051
4272,409,1337,2526,882a134ae9fffff,364,1252148.7109375,4168.66883815137
7049,638,2084,4327,882a134aebfffff,365,1251671.15625,4167.87904767838
6837,589,2103,4145,882a134aedfffff,366,1252294.61328125,4168.90989898597
36,1,8,27,882a134b01fffff,367,1255082.2578125,4173.51589882111
225,5,71,149,882a134b03fffff,368,1254603.76953125,4172.72543713902
209,2,42,165,882a134b07fffff,369,1254749.73046875,4172.96641010828
2129,118,764,1247,882a134b11fffff,370,1253979.921875,4171.69486023373
1232,115,364,753,882a134b13fffff,371,1253501.796875,4170.90464159366
1596,48,517,1031,882a134b15fffff,372,1254125.3125,4171.93490449627
354,7,99,248,882a134b17fffff,373,1253647.296875,4171.14495998193
182,4,35,143,882a134b19fffff,374,1254312.37109375,4172.24437817381
2321,189,659,1473,882a134b1bfffff,375,1253833.96875,4171.45383786907
1007,18,232,757,882a134b1dfffff,376,1254458.08984375,4172.48495662257
127,8,30,89,882a134b31fffff,377,1253938.23046875,4171.62538837427
